,"(p,q)x(P,Q)",AIC
422,"(0, 6, 2, 2)",-2175.6115190223086
423,"(7, 3, 0, 2)",-2174.199884636768
424,"(5, 7, 2, 0)",-2174.0529760371455
425,"(5, 3, 2, 1)",-2173.7513252103395
426,"(1, 0, 1, 2)",-2173.5710653141573
427,"(1, 0, 3, 3)",-2173.0604886537667
428,"(1, 6, 2, 1)",-2170.4942353126507
429,"(1, 0, 2, 3)",-2169.1984158203754
430,"(6, 0, 1, 2)",-2169.127828423933
431,"(3, 5, 1, 2)",-2167.2594509162027
432,"(3, 0, 3, 1)",-2166.016737543716
433,"(1, 5, 2, 1)",-2165.801586530014
434,"(7, 0, 0, 2)",-2164.0957690866444
435,"(5, 4, 0, 3)",-2163.804882217373
436,"(5, 5, 2, 2)",-2163.6822016598812
437,"(1, 3, 2, 2)",-2161.7681541819134
438,"(3, 0, 0, 2)",-2160.80658429513
439,"(0, 6, 1, 1)",-2160.6418712514387
440,"(1, 7, 3, 0)",-2159.4745051447453
441,"(5, 6, 1, 1)",-2159.265540334436
442,"(3, 5, 2, 2)",-2158.8517613015188
443,"(4, 2, 2, 2)",-2158.1818257354316
444,"(5, 2, 0, 2)",-2157.984090376332
445,"(6, 5, 2, 2)",-2156.7050745482143
446,"(6, 4, 2, 2)",-2154.944099649204
447,"(5, 6, 2, 2)",-2154.498247699981
448,"(0, 5, 2, 1)",-2152.634349432567
449,"(0, 1, 2, 1)",-2152.3808417191694
450,"(0, 4, 2, 1)",-2152.1092980271596
451,"(1, 1, 2, 1)",-2152.051530204466
452,"(4, 3, 2, 2)",-2151.828412745158
453,"(0, 2, 2, 1)",-2151.7260883886174
454,"(3, 6, 2, 2)",-2151.587764367505
455,"(2, 4, 2, 2)",-2151.435597498651
456,"(0, 3, 2, 1)",-2150.7696238763615
457,"(7, 2, 0, 2)",-2150.7238624854645
458,"(1, 2, 2, 1)",-2150.4505107343184
459,"(2, 0, 1, 3)",-2150.085465998485
460,"(4, 3, 1, 2)",-2150.0852962996623
461,"(6, 6, 2, 2)",-2150.068220025786
462,"(4, 6, 2, 2)",-2150.000489259638
463,"(6, 4, 1, 2)",-2149.773910826445
464,"(3, 1, 2, 1)",-2149.20110693687
465,"(2, 2, 2, 1)",-2148.5032097890594
466,"(2, 1, 2, 1)",-2147.6366240248803
467,"(6, 4, 1, 1)",-2147.575748551602
468,"(3, 3, 2, 2)",-2147.496637870424
469,"(2, 0, 3, 1)",-2147.235610334356
470,"(1, 4, 2, 1)",-2145.7351769086927
471,"(6, 3, 2, 2)",-2145.3367021004683
472,"(6, 3, 0, 3)",-2143.0731022420073
473,"(3, 2, 2, 1)",-2142.2763540434084
474,"(5, 5, 1, 1)",-2140.3364364146446
475,"(4, 1, 2, 2)",-2139.7303426265667
476,"(2, 6, 1, 1)",-2139.479383061632
477,"(3, 4, 2, 2)",-2137.479041566697
478,"(1, 3, 2, 1)",-2134.737780213391
479,"(3, 7, 2, 0)",-2133.624830877842
480,"(2, 3, 1, 1)",-2133.2975381590877
481,"(5, 4, 2, 2)",-2131.0852111488534
482,"(5, 3, 0, 3)",-2130.5028874119703
483,"(4, 4, 1, 1)",-2127.546387774475
484,"(3, 6, 1, 1)",-2127.447326442643
485,"(4, 2, 0, 2)",-2127.407624994197
486,"(2, 2, 2, 2)",-2126.9653495704556
487,"(6, 2, 2, 2)",-2126.0033230472964
488,"(3, 3, 1, 1)",-2125.502135119375
489,"(6, 0, 2, 2)",-2124.668064011286
490,"(4, 6, 1, 1)",-2123.7630838022637
491,"(6, 1, 2, 2)",-2123.342397985557
492,"(7, 5, 0, 3)",-2123.2111779166444
493,"(4, 3, 1, 1)",-2121.6316080596025
494,"(2, 7, 2, 0)",-2120.7034597146985
495,"(1, 1, 0, 2)",-2120.5895079421025
496,"(5, 3, 2, 2)",-2118.122615305996
497,"(2, 0, 0, 2)",-2117.4618635495153
498,"(5, 6, 0, 1)",-2115.8697823878892
499,"(1, 2, 2, 2)",-2115.090691826333
500,"(3, 4, 1, 1)",-2113.5525691635735
501,"(7, 4, 0, 2)",-2113.4140624002375
502,"(2, 4, 1, 1)",-2112.0102648734787
503,"(3, 2, 0, 2)",-2109.8384825637254
504,"(4, 5, 1, 1)",-2109.5349805204005
505,"(0, 5, 2, 2)",-2108.877287630017
506,"(6, 5, 1, 1)",-2107.872963902735
507,"(2, 5, 1, 1)",-2107.427075351169
508,"(6, 3, 1, 1)",-2107.1628835464517
509,"(3, 0, 2, 1)",-2106.08484192425
510,"(1, 0, 3, 1)",-2104.6119022098574
511,"(3, 5, 1, 1)",-2103.8654819303015
512,"(5, 4, 1, 1)",-2103.075327103473
513,"(1, 5, 2, 2)",-2102.058005961379
514,"(5, 3, 1, 1)",-2101.4533870738815
515,"(0, 7, 3, 0)",-2098.1684275552943
516,"(1, 7, 2, 0)",-2095.8866401005325
517,"(3, 2, 2, 2)",-2095.463728698965
518,"(0, 3, 2, 2)",-2093.3303862142193
519,"(1, 4, 2, 2)",-2091.6792461357086
520,"(2, 1, 2, 2)",-2090.726551735356
521,"(6, 2, 1, 1)",-2089.2357877734257
522,"(5, 4, 0, 2)",-2089.059760688122
523,"(6, 3, 1, 2)",-2088.529346386188
524,"(6, 7, 1, 0)",-2085.6072049120867
525,"(6, 5, 1, 2)",-2084.2891761996625
526,"(5, 5, 3, 0)",-2084.2492500400267
527,"(0, 6, 3, 0)",-2083.161853739813
528,"(6, 1, 1, 1)",-2081.859454446115
529,"(1, 0, 0, 2)",-2079.869323077736
530,"(6, 0, 1, 1)",-2079.5701502938714
531,"(2, 0, 2, 1)",-2078.3568406039303
532,"(5, 0, 1, 1)",-2077.0470863797173
533,"(4, 0, 1, 1)",-2074.993081103546
534,"(7, 3, 0, 1)",-2072.9715864756868
535,"(6, 6, 3, 0)",-2072.5852426429146
536,"(4, 2, 1, 1)",-2072.1402052724156
537,"(5, 2, 1, 1)",-2071.719881453376
538,"(7, 5, 0, 1)",-2069.1529170656795
539,"(6, 5, 3, 0)",-2068.4060906205127
540,"(3, 4, 1, 2)",-2067.8816632096436
541,"(1, 6, 1, 1)",-2067.6812681797182
542,"(2, 1, 1, 1)",-2066.781043159298
543,"(3, 1, 1, 1)",-2065.9616583243132
544,"(3, 0, 2, 2)",-2064.417949938442
545,"(0, 1, 1, 1)",-2063.566719101413
546,"(1, 3, 1, 1)",-2062.2870970170534
547,"(0, 3, 1, 1)",-2061.8129534486843
548,"(1, 1, 1, 1)",-2061.652185310994
549,"(2, 2, 1, 1)",-2060.6642684840517
550,"(7, 2, 0, 1)",-2059.2444279549595
551,"(0, 2, 1, 1)",-2059.1530932211163
552,"(1, 2, 1, 1)",-2059.0925063147106
553,"(5, 7, 1, 0)",-2058.3248178393897
554,"(6, 6, 0, 1)",-2058.2871665787757
555,"(6, 4, 3, 0)",-2057.788664531734
556,"(3, 2, 1, 1)",-2056.872429097298
557,"(3, 4, 3, 0)",-2056.510121252371
558,"(2, 3, 3, 0)",-2054.225676716708
559,"(2, 4, 3, 0)",-2053.8538129494164
560,"(4, 7, 1, 0)",-2053.7601787880376
561,"(4, 5, 3, 0)",-2053.4339912705364
562,"(1, 5, 1, 1)",-2053.393866630853
563,"(1, 4, 1, 1)",-2052.8375339320028
564,"(0, 5, 1, 1)",-2052.4702243029724
565,"(5, 6, 3, 0)",-2052.3091581267067
566,"(4, 4, 0, 1)",-2051.823159225604
567,"(5, 1, 1, 1)",-2050.853934216342
568,"(3, 6, 3, 0)",-2050.1077253300796
569,"(7, 1, 0, 1)",-2047.3277019833968
570,"(5, 3, 1, 2)",-2047.025936738516
571,"(4, 1, 1, 1)",-2046.8032805148391
572,"(2, 5, 3, 0)",-2046.4403696004674
573,"(4, 4, 3, 0)",-2046.0898293225805
574,"(3, 3, 3, 0)",-2044.9615440581324
575,"(0, 4, 1, 1)",-2044.8416487433715
576,"(5, 5, 0, 1)",-2044.7728216632513
577,"(4, 6, 3, 0)",-2044.538491659635
578,"(4, 5, 0, 1)",-2043.960587218976
579,"(6, 4, 0, 1)",-2042.5697238395264
580,"(6, 6, 2, 0)",-2040.7819708659058
581,"(3, 5, 3, 0)",-2040.517124454047
582,"(1, 0, 2, 1)",-2037.4383324450696
583,"(7, 4, 0, 1)",-2037.0546293292564
584,"(4, 3, 3, 0)",-2036.8720937834987
585,"(3, 7, 1, 0)",-2035.8696917204725
586,"(2, 7, 1, 0)",-2023.623125081282
587,"(6, 3, 3, 0)",-2022.773162285725
588,"(3, 0, 1, 1)",-2021.9005217144866
589,"(5, 3, 3, 0)",-2019.3683423672228
590,"(2, 6, 3, 0)",-2016.308476876341
591,"(5, 6, 2, 0)",-2016.2932443598497
592,"(3, 6, 0, 1)",-2016.0404621601872
593,"(5, 4, 3, 0)",-2015.727007928704
594,"(6, 0, 3, 0)",-2010.345332876974
595,"(2, 6, 0, 1)",-2006.6828732692577
596,"(4, 2, 3, 0)",-2005.9681002497996
597,"(4, 6, 0, 1)",-2005.8260378698872
598,"(6, 2, 3, 0)",-2004.649918481538
599,"(6, 1, 3, 0)",-2003.744360785338
600,"(1, 7, 1, 0)",-2003.3371532339347
601,"(1, 6, 3, 0)",-2002.0192688162342
602,"(5, 3, 0, 1)",-2000.486036153011
603,"(5, 5, 2, 0)",-1998.5949059864365
604,"(4, 0, 3, 0)",-1998.1407666636019
605,"(5, 0, 3, 0)",-1996.5187078941965
606,"(4, 1, 3, 0)",-1994.9645491736057
607,"(5, 2, 3, 0)",-1994.643926536727
608,"(5, 1, 3, 0)",-1994.3309513697513
609,"(4, 4, 2, 0)",-1993.476927138446
610,"(0, 6, 2, 0)",-1991.7747355647814
611,"(0, 7, 2, 0)",-1986.8031471672825
612,"(0, 6, 0, 1)",-1986.0553154028157
613,"(2, 0, 1, 1)",-1985.4885233470397
614,"(6, 3, 0, 1)",-1980.9010913075285
615,"(6, 4, 2, 0)",-1971.8289205125784
616,"(2, 1, 3, 0)",-1971.7207167833683
617,"(0, 3, 3, 0)",-1971.7124731158551
618,"(1, 5, 3, 0)",-1971.222853828364
619,"(3, 2, 3, 0)",-1970.862390609473
620,"(4, 5, 2, 0)",-1970.7317095314306
621,"(0, 1, 3, 0)",-1970.6847905016205
622,"(0, 0, 1, 3)",-1969.5561001082592
623,"(1, 1, 3, 0)",-1969.1665003537223
624,"(0, 2, 3, 0)",-1969.0034994849639
625,"(0, 4, 3, 0)",-1968.6037789758482
626,"(6, 2, 0, 1)",-1968.5487566286329
627,"(1, 2, 3, 0)",-1966.7695614422403
628,"(0, 0, 3, 2)",-1966.3034453851674
629,"(1, 4, 3, 0)",-1966.0456708523152
630,"(2, 2, 3, 0)",-1965.4809104668514
631,"(1, 3, 3, 0)",-1965.020319339239
632,"(0, 5, 3, 0)",-1964.3049540358224
633,"(3, 1, 3, 0)",-1963.6188277506128
634,"(0, 0, 0, 3)",-1958.723624987974
635,"(0, 0, 2, 2)",-1955.610505082042
636,"(0, 0, 3, 3)",-1950.6551926190848
637,"(0, 0, 1, 2)",-1945.6598379677353
638,"(7, 0, 0, 1)",-1945.5847338985338
639,"(0, 0, 2, 3)",-1941.5181716754446
640,"(1, 0, 1, 1)",-1941.0711600941374
641,"(3, 5, 0, 1)",-1940.4989485338278
642,"(7, 7, 0, 0)",-1939.0321025602782
643,"(6, 5, 0, 1)",-1935.9669380498071
644,"(2, 4, 2, 0)",-1935.817838249677
645,"(3, 4, 2, 0)",-1933.8308977172164
646,"(1, 6, 0, 1)",-1933.1945925937544
647,"(2, 3, 2, 0)",-1931.8267012793494
648,"(3, 3, 2, 0)",-1926.1404945837996
649,"(5, 4, 0, 1)",-1925.025549330744
650,"(4, 3, 0, 1)",-1924.130961747078
651,"(3, 0, 3, 0)",-1924.0471907550068
652,"(6, 5, 2, 0)",-1920.7765625449722
653,"(6, 3, 2, 0)",-1920.7535103534651
654,"(0, 0, 0, 2)",-1914.3818544141175
655,"(6, 1, 0, 1)",-1913.5013655951984
656,"(5, 3, 2, 0)",-1911.4195504383868
657,"(3, 3, 0, 1)",-1910.4633896567484
658,"(2, 4, 0, 1)",-1910.384198332522
659,"(2, 3, 0, 1)",-1908.9684410837021
660,"(2, 5, 2, 0)",-1904.8692798560219
661,"(3, 4, 0, 1)",-1904.6425185070052
662,"(3, 6, 2, 0)",-1900.3977132998086
663,"(2, 6, 2, 0)",-1897.020893349246
664,"(4, 3, 2, 0)",-1896.5468686803697
665,"(2, 0, 3, 0)",-1896.3876914293467
666,"(6, 7, 0, 0)",-1895.3663714324175
667,"(2, 5, 0, 1)",-1895.002872002351
668,"(1, 5, 0, 1)",-1894.468783940082
669,"(3, 5, 2, 0)",-1892.9746327795185
670,"(5, 4, 2, 0)",-1892.2167732638106
671,"(0, 0, 3, 1)",-1889.373787909365
672,"(4, 6, 2, 0)",-1886.7330416676127
673,"(6, 0, 0, 1)",-1884.6965276960293
674,"(0, 5, 0, 1)",-1882.3600177942965
675,"(6, 2, 2, 0)",-1870.3080298133336
676,"(1, 6, 2, 0)",-1867.935186702207
677,"(7, 6, 0, 0)",-1865.5515754395406
678,"(6, 0, 2, 0)",-1863.6690125820646
679,"(6, 1, 2, 0)",-1863.5749972423005
680,"(5, 2, 2, 0)",-1862.5653611481832
681,"(5, 6, 1, 0)",-1855.8883661781392
682,"(6, 5, 1, 0)",-1854.6259783213895
683,"(0, 5, 2, 0)",-1852.4485195809527
684,"(0, 6, 1, 0)",-1851.3521761603806
685,"(3, 6, 1, 0)",-1850.998522142281
686,"(5, 5, 1, 0)",-1850.5327780096977
687,"(0, 0, 2, 1)",-1849.7011987196227
688,"(4, 4, 1, 0)",-1847.8677198421092
689,"(4, 2, 2, 0)",-1847.0749163507003
690,"(1, 0, 3, 0)",-1842.952719658295
691,"(2, 1, 2, 0)",-1838.8978330377354
692,"(2, 6, 1, 0)",-1838.893475811172
693,"(4, 6, 1, 0)",-1837.4579041516945
694,"(0, 3, 2, 0)",-1836.0292384988493
695,"(0, 4, 2, 0)",-1832.3272616274883
696,"(6, 4, 1, 0)",-1832.1604104153018
697,"(1, 1, 2, 0)",-1831.1058613821524
698,"(0, 7, 1, 0)",-1830.5079641968332
699,"(0, 2, 2, 0)",-1827.9179246980177
700,"(3, 5, 1, 0)",-1827.865036427774
701,"(2, 2, 2, 0)",-1827.6522631563294
702,"(1, 3, 2, 0)",-1824.5764848238991
703,"(5, 0, 2, 0)",-1824.1730597857322
704,"(3, 2, 2, 0)",-1823.8844766137497
705,"(1, 4, 2, 0)",-1823.579593247052
706,"(4, 0, 2, 0)",-1823.243131100272
707,"(1, 5, 2, 0)",-1822.8699766101217
708,"(4, 1, 2, 0)",-1822.352714481588
709,"(5, 1, 2, 0)",-1819.3996111822494
710,"(1, 2, 2, 0)",-1816.022682023375
711,"(0, 1, 2, 0)",-1806.8689250575983
712,"(6, 6, 1, 0)",-1804.9451023532
713,"(5, 6, 0, 0)",-1804.6817350806598
714,"(3, 1, 2, 0)",-1801.2917149246086
715,"(1, 4, 0, 1)",-1780.1850239900186
716,"(3, 0, 2, 0)",-1771.3013871530748
717,"(5, 3, 1, 0)",-1769.0539574513937
718,"(7, 5, 0, 0)",-1768.8095397516345
719,"(6, 3, 1, 0)",-1768.5901483536554
720,"(1, 3, 0, 1)",-1764.9229971054656
721,"(0, 2, 0, 1)",-1762.510745834413
722,"(3, 2, 0, 1)",-1761.288910925241
723,"(2, 1, 0, 1)",-1760.8589787934482
724,"(0, 3, 0, 1)",-1760.577572822451
725,"(5, 2, 0, 1)",-1760.2739593573688
726,"(4, 5, 1, 0)",-1760.2529895479458
727,"(4, 2, 0, 1)",-1760.0189426513205
728,"(0, 4, 0, 1)",-1758.9154685386363
729,"(5, 4, 1, 0)",-1758.1243897385245
730,"(2, 2, 0, 1)",-1757.2342361445553
731,"(1, 1, 0, 1)",-1756.1248454577772
732,"(3, 4, 1, 0)",-1755.2123118354182
733,"(0, 0, 1, 1)",-1754.1639720321791
734,"(0, 1, 0, 1)",-1745.089576244718
735,"(5, 1, 0, 1)",-1744.919069822432
736,"(1, 6, 1, 0)",-1742.183434811422
737,"(1, 2, 0, 1)",-1740.8988750728654
738,"(4, 7, 0, 0)",-1740.6183719478313
739,"(2, 0, 2, 0)",-1739.3459153190333
740,"(5, 7, 0, 0)",-1738.6998402044992
741,"(0, 5, 1, 0)",-1735.9338069900837
742,"(4, 0, 0, 1)",-1735.35065523582
743,"(5, 0, 0, 1)",-1734.0957858451109
744,"(2, 3, 1, 0)",-1733.617212962506
745,"(4, 1, 0, 1)",-1733.1871575117084
746,"(3, 3, 1, 0)",-1732.3489768526167
747,"(4, 3, 1, 0)",-1730.3866530980213
748,"(2, 4, 1, 0)",-1724.757889536745
749,"(2, 5, 1, 0)",-1722.6291796208925
750,"(1, 5, 1, 0)",-1720.6670394407852
751,"(3, 7, 0, 0)",-1709.8274425275852
752,"(3, 1, 0, 1)",-1708.7169233134093
753,"(1, 0, 2, 0)",-1693.3861469261037
754,"(6, 2, 1, 0)",-1693.1172763823981
755,"(6, 6, 0, 0)",-1682.6428643150848
756,"(3, 0, 0, 1)",-1682.5080154977968
757,"(6, 1, 1, 0)",-1682.2780955240833
758,"(0, 0, 3, 0)",-1678.9535303302764
759,"(6, 0, 1, 0)",-1678.721872123738
760,"(2, 7, 0, 0)",-1664.9855171960394
761,"(7, 1, 0, 0)",-1644.6166377818554
762,"(2, 1, 1, 0)",-1642.325818070476
763,"(0, 3, 1, 0)",-1641.0794652470483
764,"(0, 4, 1, 0)",-1638.9754508520973
765,"(1, 3, 1, 0)",-1638.8414272457317
766,"(3, 2, 1, 0)",-1638.791913460301
767,"(1, 7, 0, 0)",-1637.2921169859683
768,"(1, 4, 1, 0)",-1637.1831848959687
769,"(1, 1, 1, 0)",-1637.1565597190815
770,"(2, 2, 1, 0)",-1637.032044162877
771,"(0, 2, 1, 0)",-1635.9418228915738
772,"(1, 2, 1, 0)",-1635.1899766807742
773,"(0, 1, 1, 0)",-1633.3475502693511
774,"(2, 0, 0, 1)",-1628.9976173648358
775,"(7, 4, 0, 0)",-1626.3806408383075
776,"(4, 2, 1, 0)",-1623.3185030833931
777,"(5, 2, 1, 0)",-1618.3213295990597
778,"(7, 2, 0, 0)",-1617.7433342498534
779,"(7, 3, 0, 0)",-1606.1648281590733
780,"(5, 0, 1, 0)",-1604.939091503781
781,"(6, 5, 0, 0)",-1598.2504273736135
782,"(4, 1, 1, 0)",-1598.0805584490954
783,"(4, 0, 1, 0)",-1597.5248949478312
784,"(5, 1, 1, 0)",-1593.6689715573962
785,"(3, 1, 1, 0)",-1588.7436519002447
786,"(6, 4, 0, 0)",-1574.9199084567085
787,"(1, 0, 0, 1)",-1574.1677382929643
788,"(3, 0, 1, 0)",-1565.4297895228826
789,"(4, 6, 0, 0)",-1562.108375930742
790,"(0, 7, 0, 0)",-1561.3975824610193
791,"(5, 5, 0, 0)",-1555.7509452936688
792,"(4, 4, 0, 0)",-1551.5368994279208
793,"(5, 4, 0, 0)",-1551.353501971901
794,"(5, 3, 0, 0)",-1544.5893143753938
795,"(6, 3, 0, 0)",-1536.6275553127796
796,"(2, 6, 0, 0)",-1536.0955416752897
797,"(0, 0, 2, 0)",-1531.512236770684
798,"(6, 2, 0, 0)",-1530.3032900623837
799,"(2, 0, 1, 0)",-1526.2058178865627
800,"(3, 6, 0, 0)",-1517.0472340029783
801,"(4, 5, 0, 0)",-1513.6182221478186
802,"(1, 6, 0, 0)",-1478.9817050891022
803,"(1, 0, 1, 0)",-1476.9618367428916
804,"(0, 0, 0, 1)",-1475.5476646867246
805,"(7, 0, 0, 0)",-1447.0417510190805
806,"(1, 5, 0, 0)",-1433.666433094783
807,"(0, 6, 0, 0)",-1427.8873397514067
808,"(3, 5, 0, 0)",-1416.0783814694005
809,"(4, 3, 0, 0)",-1399.8215493482735
810,"(6, 1, 0, 0)",-1381.2728201016248
811,"(0, 5, 0, 0)",-1357.0153310758933
812,"(5, 2, 0, 0)",-1342.4703151442181
813,"(2, 5, 0, 0)",-1336.089193546536
814,"(2, 4, 0, 0)",-1334.4861627672344
815,"(6, 0, 0, 0)",-1332.5558801315278
816,"(3, 3, 0, 0)",-1332.0250247662627
817,"(2, 3, 0, 0)",-1320.225026613978
818,"(3, 4, 0, 0)",-1317.4264783352073
819,"(1, 4, 0, 0)",-1314.3229659451076
820,"(0, 0, 1, 0)",-1297.173029530541
821,"(3, 2, 0, 0)",-1173.5205185060536
822,"(4, 2, 0, 0)",-1173.3175881890977
823,"(1, 3, 0, 0)",-1171.5286505092247
824,"(2, 1, 0, 0)",-1168.0349943252631
825,"(0, 2, 0, 0)",-1166.8962588931504
826,"(0, 4, 0, 0)",-1165.8492695078166
827,"(1, 1, 0, 0)",-1163.8217596243508
828,"(2, 2, 0, 0)",-1162.0576979674208
829,"(0, 3, 0, 0)",-1157.3443869725215
830,"(0, 1, 0, 0)",-1147.7896824540937
831,"(1, 2, 0, 0)",-1144.185840643749
832,"(5, 1, 0, 0)",-1114.3338499855672
833,"(4, 0, 0, 0)",-1113.2451152672038
834,"(5, 0, 0, 0)",-1112.6904605833984
835,"(4, 1, 0, 0)",-1111.5267357034652
836,"(3, 1, 0, 0)",-1090.9147369967234
837,"(3, 0, 0, 0)",-1070.3543595293816
838,"(2, 0, 0, 0)",-1017.0467707686082
839,"(1, 0, 0, 0)",-953.2853950823715
840,"(0, 0, 0, 0)",-868.86485272858
