,"(p,q)x(P,Q)",AIC
422,"(6, 7, 2, 0)",-2494.98312967294
423,"(4, 1, 2, 1)",-2494.2757060422327
424,"(0, 0, 1, 3)",-2492.6545417308694
425,"(4, 7, 2, 0)",-2490.373777634184
426,"(1, 4, 0, 2)",-2489.573672151979
427,"(2, 2, 3, 1)",-2488.1742880604525
428,"(0, 4, 0, 2)",-2487.353256668084
429,"(0, 1, 0, 2)",-2487.0982735306698
430,"(2, 2, 1, 3)",-2487.084060461417
431,"(1, 1, 0, 2)",-2486.7198048427176
432,"(2, 1, 0, 2)",-2486.1127036799153
433,"(5, 7, 2, 0)",-2484.659109172344
434,"(2, 6, 2, 1)",-2484.3858109220246
435,"(2, 4, 2, 1)",-2484.1323764289023
436,"(3, 6, 2, 1)",-2483.024972063355
437,"(3, 1, 2, 1)",-2482.9936402532035
438,"(2, 0, 0, 2)",-2482.500774757418
439,"(3, 1, 0, 2)",-2481.0247780156615
440,"(3, 0, 0, 2)",-2480.523106081566
441,"(1, 6, 2, 1)",-2478.5963808748156
442,"(6, 1, 2, 2)",-2478.5712970193226
443,"(1, 3, 2, 1)",-2478.1612364861485
444,"(6, 2, 2, 2)",-2477.7899087491764
445,"(1, 4, 2, 1)",-2477.7585068696862
446,"(1, 4, 2, 2)",-2477.534826810165
447,"(2, 3, 2, 1)",-2477.5154997516647
448,"(0, 3, 2, 1)",-2476.1745044787745
449,"(0, 1, 3, 2)",-2476.1496870999267
450,"(2, 1, 2, 1)",-2476.128875163108
451,"(1, 5, 2, 1)",-2474.1217700109232
452,"(3, 7, 2, 0)",-2473.8606071071767
453,"(0, 4, 2, 1)",-2473.793170043681
454,"(0, 2, 2, 1)",-2473.5170253999204
455,"(0, 5, 2, 1)",-2472.095696279266
456,"(1, 1, 2, 1)",-2471.373320219428
457,"(1, 6, 2, 2)",-2468.3988333553452
458,"(6, 3, 1, 2)",-2468.339562695268
459,"(1, 0, 1, 2)",-2467.5071433758103
460,"(2, 7, 2, 0)",-2466.652249903311
461,"(2, 0, 2, 1)",-2463.8998759095043
462,"(3, 0, 2, 1)",-2463.2776540598175
463,"(1, 2, 1, 3)",-2460.294826955158
464,"(2, 3, 1, 2)",-2459.938351055879
465,"(3, 3, 2, 1)",-2458.668661060414
466,"(6, 0, 2, 2)",-2458.4528195574935
467,"(0, 1, 2, 1)",-2457.630581795599
468,"(3, 3, 1, 2)",-2448.2609528938683
469,"(2, 3, 2, 2)",-2447.7472867938986
470,"(6, 3, 1, 1)",-2444.944478268013
471,"(2, 5, 2, 2)",-2438.5076317751036
472,"(1, 2, 3, 2)",-2437.0625713240197
473,"(2, 2, 0, 3)",-2434.713813310751
474,"(4, 3, 1, 1)",-2432.129570829476
475,"(1, 2, 2, 1)",-2429.2809970685576
476,"(6, 4, 1, 1)",-2428.864670760936
477,"(6, 5, 1, 1)",-2427.0799824477676
478,"(1, 7, 2, 0)",-2424.4236696546623
479,"(1, 0, 0, 2)",-2419.6225681749693
480,"(6, 6, 1, 1)",-2419.5310136184444
481,"(2, 2, 2, 1)",-2415.081250714804
482,"(0, 0, 3, 3)",-2407.8351814726593
483,"(5, 3, 1, 1)",-2402.9411802490595
484,"(0, 0, 2, 2)",-2397.2971263177265
485,"(3, 4, 1, 1)",-2395.4828245468107
486,"(4, 4, 1, 1)",-2393.5774410448375
487,"(5, 4, 1, 1)",-2389.831138942989
488,"(1, 0, 2, 1)",-2389.2955242993285
489,"(1, 2, 0, 2)",-2387.0394136341865
490,"(6, 0, 1, 1)",-2383.6388190699013
491,"(6, 2, 1, 1)",-2383.308239030829
492,"(6, 1, 1, 1)",-2381.020141617598
493,"(5, 6, 1, 1)",-2373.615547916055
494,"(6, 7, 1, 0)",-2373.035045129136
495,"(6, 3, 3, 0)",-2372.2985423321497
496,"(5, 3, 3, 0)",-2369.4352208587957
497,"(1, 2, 2, 2)",-2368.585517074591
498,"(5, 5, 1, 1)",-2355.7708239205294
499,"(3, 2, 2, 2)",-2353.0198038520048
500,"(4, 5, 1, 1)",-2352.5858778266847
501,"(4, 6, 1, 1)",-2350.165370599785
502,"(6, 4, 3, 0)",-2348.9410230388166
503,"(7, 6, 0, 1)",-2345.5342550975574
504,"(4, 3, 3, 0)",-2343.092771217859
505,"(5, 0, 1, 1)",-2342.4436185985005
506,"(4, 1, 1, 1)",-2339.7227329447314
507,"(6, 5, 3, 0)",-2338.903074715655
508,"(4, 0, 1, 1)",-2337.208727065661
509,"(0, 6, 3, 0)",-2336.5562686215662
510,"(3, 2, 0, 3)",-2335.934799325673
511,"(3, 5, 1, 1)",-2333.655146632735
512,"(6, 6, 3, 0)",-2333.3323829515793
513,"(4, 7, 1, 0)",-2333.1348554563583
514,"(7, 5, 0, 1)",-2332.4460442780664
515,"(5, 1, 1, 1)",-2330.2726738662045
516,"(7, 4, 0, 1)",-2329.727796767286
517,"(5, 7, 1, 0)",-2329.1800140259347
518,"(0, 6, 1, 1)",-2317.672390630916
519,"(2, 2, 2, 2)",-2317.160052469011
520,"(0, 0, 2, 3)",-2313.774599134863
521,"(6, 4, 0, 1)",-2308.8233127963886
522,"(3, 2, 0, 2)",-2307.6940990354315
523,"(0, 6, 0, 1)",-2306.0183486661754
524,"(5, 6, 3, 0)",-2305.6979461044402
525,"(2, 2, 0, 2)",-2302.859727193711
526,"(5, 3, 0, 1)",-2300.2589441555006
527,"(2, 1, 3, 0)",-2295.753245830788
528,"(6, 6, 0, 1)",-2293.25435097725
529,"(2, 6, 3, 0)",-2292.4438105373474
530,"(6, 0, 3, 0)",-2289.843108733122
531,"(2, 4, 3, 0)",-2288.8757192090925
532,"(3, 6, 3, 0)",-2288.6065683844554
533,"(5, 0, 3, 0)",-2287.9034449356286
534,"(4, 4, 3, 0)",-2287.60028971488
535,"(1, 5, 3, 0)",-2287.373105080828
536,"(7, 1, 0, 1)",-2286.215678938874
537,"(1, 6, 3, 0)",-2286.167627374664
538,"(4, 0, 3, 0)",-2285.5785810044936
539,"(3, 4, 3, 0)",-2284.591876642747
540,"(5, 4, 3, 0)",-2284.3740235622845
541,"(2, 5, 3, 0)",-2284.088306833937
542,"(6, 1, 3, 0)",-2283.3586942584984
543,"(5, 5, 3, 0)",-2283.0321386417527
544,"(5, 1, 3, 0)",-2281.9912583748915
545,"(1, 4, 3, 0)",-2281.961179615181
546,"(4, 5, 3, 0)",-2281.774363447084
547,"(6, 2, 3, 0)",-2281.4436940397045
548,"(2, 2, 3, 0)",-2280.2088578282596
549,"(4, 1, 3, 0)",-2279.3867218132195
550,"(4, 6, 3, 0)",-2278.6255429915273
551,"(7, 2, 0, 1)",-2277.7221249664385
552,"(3, 1, 1, 1)",-2277.5849925942266
553,"(3, 1, 3, 0)",-2277.1307093744044
554,"(3, 5, 3, 0)",-2276.833634900924
555,"(0, 3, 1, 1)",-2275.1603747900144
556,"(6, 5, 0, 1)",-2274.7294661542974
557,"(0, 5, 1, 1)",-2273.6192172566934
558,"(6, 3, 0, 1)",-2272.9214770909157
559,"(1, 3, 1, 1)",-2272.7268898171337
560,"(0, 7, 3, 0)",-2272.0696857783105
561,"(6, 4, 2, 0)",-2271.4263610367534
562,"(1, 6, 1, 1)",-2270.9129264015314
563,"(0, 4, 1, 1)",-2269.110337767081
564,"(3, 3, 3, 0)",-2269.012762864286
565,"(1, 3, 3, 0)",-2269.00020729304
566,"(0, 5, 3, 0)",-2268.388593521439
567,"(1, 4, 1, 1)",-2268.1331589198217
568,"(2, 1, 1, 1)",-2267.7385907909943
569,"(1, 5, 1, 1)",-2267.102521772565
570,"(3, 0, 3, 0)",-2265.989892066125
571,"(2, 6, 1, 1)",-2264.3001941421953
572,"(0, 4, 3, 0)",-2264.041082080077
573,"(2, 0, 3, 0)",-2263.9959568405166
574,"(1, 1, 3, 0)",-2263.85382831935
575,"(2, 4, 1, 1)",-2262.411241300317
576,"(0, 3, 3, 0)",-2259.5788599014886
577,"(2, 3, 3, 0)",-2257.9939463261644
578,"(2, 5, 1, 1)",-2257.4435242535155
579,"(2, 2, 1, 1)",-2256.8027770724634
580,"(3, 2, 1, 1)",-2255.9137862113284
581,"(1, 1, 1, 1)",-2254.6629380650097
582,"(2, 3, 1, 1)",-2254.5273401148506
583,"(0, 1, 1, 1)",-2254.280333012869
584,"(0, 2, 1, 1)",-2252.3742981212185
585,"(0, 7, 2, 0)",-2250.6309428879467
586,"(1, 2, 1, 1)",-2249.458090322604
587,"(0, 0, 1, 2)",-2248.489018572485
588,"(3, 6, 1, 1)",-2247.7160433335252
589,"(0, 2, 3, 0)",-2245.71348928709
590,"(3, 3, 1, 1)",-2244.790298646325
591,"(3, 6, 0, 1)",-2240.3276078455983
592,"(0, 0, 0, 2)",-2240.119458347493
593,"(1, 2, 3, 0)",-2239.4213924089236
594,"(5, 4, 2, 0)",-2234.6688603659504
595,"(0, 1, 3, 0)",-2232.9118864245434
596,"(3, 7, 1, 0)",-2232.0996948401876
597,"(4, 3, 0, 1)",-2227.3946601609896
598,"(2, 2, 3, 2)",-2227.2625595613827
599,"(2, 6, 0, 1)",-2223.404725585854
600,"(0, 6, 2, 0)",-2221.809009626543
601,"(3, 0, 1, 1)",-2221.5003552808266
602,"(6, 3, 2, 0)",-2221.4670572524155
603,"(1, 5, 0, 1)",-2221.097892254439
604,"(5, 3, 2, 0)",-2220.748876679055
605,"(3, 6, 2, 0)",-2219.6297332353734
606,"(2, 5, 2, 0)",-2218.462711295806
607,"(2, 7, 1, 0)",-2213.9055736690316
608,"(2, 6, 2, 0)",-2211.7984763051636
609,"(0, 0, 3, 1)",-2209.0251472021964
610,"(6, 5, 2, 0)",-2201.010685617078
611,"(2, 5, 0, 1)",-2199.2802998498687
612,"(0, 5, 0, 1)",-2196.4950301412946
613,"(3, 2, 3, 0)",-2196.3382441374233
614,"(5, 5, 0, 1)",-2194.8052138377684
615,"(6, 6, 2, 0)",-2194.0590752457415
616,"(3, 5, 0, 1)",-2193.8276289855335
617,"(4, 5, 2, 0)",-2193.750319294919
618,"(4, 6, 0, 1)",-2191.5453434232113
619,"(1, 7, 1, 0)",-2191.5156668956697
620,"(4, 3, 2, 0)",-2190.293236928596
621,"(2, 0, 1, 1)",-2189.5335409782083
622,"(4, 5, 0, 1)",-2187.0092650646434
623,"(3, 5, 2, 0)",-2182.633035242037
624,"(1, 0, 3, 0)",-2180.2217699704192
625,"(2, 4, 2, 0)",-2173.1357097911523
626,"(2, 3, 0, 1)",-2173.02378594047
627,"(4, 6, 2, 0)",-2171.0273113726626
628,"(1, 6, 0, 1)",-2168.4301193241217
629,"(3, 3, 0, 1)",-2166.0968924679264
630,"(5, 6, 0, 1)",-2165.2800556680277
631,"(3, 4, 2, 0)",-2163.349544212473
632,"(7, 3, 0, 1)",-2158.2265760811006
633,"(6, 2, 0, 1)",-2153.142509610829
634,"(0, 4, 0, 1)",-2151.4229980164605
635,"(1, 0, 1, 1)",-2149.396689248832
636,"(7, 7, 0, 0)",-2149.3063878201156
637,"(5, 5, 2, 0)",-2149.151267032674
638,"(0, 3, 0, 1)",-2146.7631691826464
639,"(2, 4, 0, 1)",-2145.2662317928357
640,"(3, 4, 0, 1)",-2136.2492463419467
641,"(6, 4, 1, 0)",-2135.0162147886494
642,"(6, 0, 2, 0)",-2133.1096572374336
643,"(1, 4, 0, 1)",-2132.6557973122194
644,"(1, 1, 0, 1)",-2130.567390295061
645,"(5, 4, 0, 1)",-2129.7737626244757
646,"(0, 1, 0, 1)",-2129.6428059621453
647,"(6, 6, 1, 0)",-2128.4268326335814
648,"(6, 1, 2, 0)",-2128.373959548723
649,"(6, 2, 2, 0)",-2127.85744242816
650,"(7, 0, 0, 1)",-2126.7199021147344
651,"(2, 1, 2, 0)",-2122.774490881063
652,"(0, 0, 2, 1)",-2122.5166333317934
653,"(1, 6, 2, 0)",-2122.016631277877
654,"(0, 5, 2, 0)",-2121.502224814737
655,"(0, 3, 2, 0)",-2121.3005523309685
656,"(0, 4, 2, 0)",-2121.026734032722
657,"(3, 3, 2, 0)",-2121.0222001524453
658,"(1, 3, 0, 1)",-2118.8769967999287
659,"(1, 4, 2, 0)",-2117.0630367227436
660,"(1, 5, 2, 0)",-2115.120631870028
661,"(4, 4, 0, 1)",-2111.06878719779
662,"(5, 0, 2, 0)",-2110.6200553904423
663,"(1, 2, 2, 0)",-2108.9223405711386
664,"(5, 6, 2, 0)",-2105.142754511147
665,"(4, 0, 2, 0)",-2101.3229691976544
666,"(2, 3, 2, 0)",-2100.4855524255995
667,"(4, 1, 2, 0)",-2098.1351690116203
668,"(0, 2, 0, 1)",-2097.537980502078
669,"(1, 2, 0, 1)",-2095.039105459065
670,"(5, 1, 2, 0)",-2094.941177458142
671,"(2, 2, 0, 1)",-2094.419720235931
672,"(0, 1, 2, 0)",-2093.568775372763
673,"(3, 1, 0, 1)",-2088.625501087155
674,"(5, 2, 3, 1)",-2087.277752597275
675,"(0, 2, 2, 0)",-2087.0092859976303
676,"(6, 3, 1, 0)",-2086.8218710946066
677,"(3, 7, 0, 0)",-2085.2986669465618
678,"(3, 1, 2, 0)",-2084.4866766595105
679,"(1, 1, 2, 0)",-2084.4602010316867
680,"(4, 7, 0, 0)",-2083.3896685657696
681,"(6, 1, 0, 1)",-2082.8152588160883
682,"(3, 0, 0, 1)",-2081.6285361078253
683,"(4, 1, 0, 1)",-2081.5744691266673
684,"(1, 3, 2, 0)",-2080.3750003028963
685,"(5, 3, 1, 0)",-2078.81789946165
686,"(2, 1, 0, 1)",-2077.035201135838
687,"(6, 7, 0, 0)",-2072.257293445475
688,"(3, 0, 2, 0)",-2066.917585835836
689,"(3, 2, 2, 0)",-2061.865635484835
690,"(6, 0, 0, 1)",-2059.920356584271
691,"(2, 0, 2, 0)",-2057.0256388697153
692,"(5, 6, 1, 0)",-2055.9903343617843
693,"(4, 6, 1, 0)",-2051.1609881272652
694,"(3, 6, 1, 0)",-2044.597305008917
695,"(2, 7, 0, 0)",-2041.663107845614
696,"(5, 4, 1, 0)",-2038.1266511137255
697,"(3, 2, 0, 1)",-2035.0118294887952
698,"(5, 0, 0, 1)",-2026.2573151396723
699,"(2, 0, 0, 1)",-2025.8749468055635
700,"(6, 5, 1, 0)",-2024.1738021223232
701,"(1, 7, 0, 0)",-2021.9349523306016
702,"(5, 7, 0, 0)",-2021.4089955328436
703,"(4, 3, 1, 0)",-2020.9365215347905
704,"(3, 2, 3, 2)",-2015.0019426891618
705,"(4, 4, 1, 0)",-2010.7089761849043
706,"(0, 7, 1, 0)",-2009.112241848451
707,"(4, 0, 0, 1)",-2004.0880486376675
708,"(2, 5, 1, 0)",-1996.588791125478
709,"(5, 1, 0, 1)",-1996.4300047926033
710,"(2, 4, 1, 0)",-1995.8826717383813
711,"(4, 5, 1, 0)",-1995.8471316183363
712,"(2, 6, 1, 0)",-1993.1639335751693
713,"(5, 5, 1, 0)",-1992.8623821810008
714,"(3, 3, 1, 0)",-1992.2391796441439
715,"(1, 0, 2, 0)",-1991.5208023387422
716,"(1, 0, 0, 1)",-1977.72881246882
717,"(3, 5, 1, 0)",-1976.6237762743222
718,"(0, 6, 1, 0)",-1963.75075035886
719,"(1, 5, 1, 0)",-1954.9056235664561
720,"(3, 4, 1, 0)",-1945.1140437711297
721,"(2, 2, 2, 0)",-1940.736136980539
722,"(0, 5, 1, 0)",-1935.2504369452104
723,"(0, 0, 1, 1)",-1933.4661986684696
724,"(1, 6, 1, 0)",-1932.6076262596325
725,"(7, 4, 0, 0)",-1927.0115862988685
726,"(7, 2, 0, 0)",-1926.5352619287062
727,"(7, 1, 0, 0)",-1924.6069851733057
728,"(7, 5, 0, 0)",-1924.564609528751
729,"(7, 6, 0, 0)",-1923.8251390141572
730,"(6, 2, 1, 0)",-1917.6759687817753
731,"(6, 1, 1, 0)",-1914.3144501787576
732,"(3, 2, 1, 0)",-1913.9860460180792
733,"(6, 0, 1, 0)",-1907.7574378797885
734,"(0, 0, 3, 0)",-1903.8696982875676
735,"(4, 4, 2, 0)",-1902.9644141636077
736,"(3, 2, 2, 1)",-1901.6839937741008
737,"(2, 2, 1, 0)",-1896.6833312467982
738,"(2, 1, 1, 0)",-1895.9452226074152
739,"(0, 4, 1, 0)",-1890.0159974505857
740,"(0, 3, 1, 0)",-1887.7667676556437
741,"(1, 4, 1, 0)",-1882.8737050377754
742,"(1, 3, 1, 0)",-1876.8825292974132
743,"(1, 2, 1, 0)",-1875.4800194668887
744,"(0, 1, 1, 0)",-1875.3597415274103
745,"(5, 0, 1, 0)",-1867.610760660612
746,"(4, 1, 1, 0)",-1865.7193136220587
747,"(4, 0, 1, 0)",-1865.1596932772568
748,"(5, 2, 3, 0)",-1860.6652577998213
749,"(5, 2, 1, 0)",-1860.4913019896967
750,"(5, 1, 1, 0)",-1858.5922474773968
751,"(6, 6, 0, 0)",-1858.3016420700187
752,"(3, 1, 1, 0)",-1858.267390526713
753,"(2, 3, 1, 0)",-1856.0187557592467
754,"(0, 7, 0, 0)",-1849.707498642606
755,"(1, 1, 1, 0)",-1847.6090786124346
756,"(3, 0, 1, 0)",-1846.1774190973852
757,"(0, 2, 1, 0)",-1845.9305097899107
758,"(2, 0, 1, 0)",-1819.7410824327092
759,"(0, 0, 0, 1)",-1792.3755442630422
760,"(3, 6, 0, 0)",-1792.1751880571985
761,"(1, 5, 0, 0)",-1786.684497051174
762,"(6, 3, 0, 0)",-1785.8787254179183
763,"(6, 2, 0, 0)",-1782.8663669311995
764,"(0, 0, 2, 0)",-1771.9625741611342
765,"(5, 4, 0, 0)",-1770.1856500793322
766,"(6, 5, 0, 0)",-1766.0147933462695
767,"(0, 6, 0, 0)",-1764.0179003016165
768,"(5, 6, 0, 0)",-1758.60927450605
769,"(4, 5, 0, 0)",-1757.8296157403943
770,"(6, 4, 0, 0)",-1753.2539338686454
771,"(5, 5, 0, 0)",-1751.2963394739595
772,"(3, 5, 0, 0)",-1745.1572522142717
773,"(2, 5, 0, 0)",-1744.296629255125
774,"(4, 6, 0, 0)",-1743.8783238783926
775,"(1, 6, 0, 0)",-1739.54660450669
776,"(1, 0, 1, 0)",-1739.3256763284867
777,"(7, 3, 0, 0)",-1733.0827303213482
778,"(5, 2, 2, 1)",-1722.9501152626026
779,"(5, 2, 1, 2)",-1706.4504014131621
780,"(5, 3, 0, 0)",-1689.6209786171867
781,"(5, 2, 0, 2)",-1685.2889682567647
782,"(4, 4, 0, 0)",-1685.120018745002
783,"(7, 0, 0, 0)",-1684.8510710711905
784,"(0, 5, 0, 0)",-1661.0391035702082
785,"(5, 2, 0, 3)",-1650.5703171899486
786,"(5, 2, 0, 1)",-1635.653817003009
787,"(6, 1, 0, 0)",-1623.1147639067583
788,"(5, 2, 2, 0)",-1621.8010472966093
789,"(5, 2, 3, 2)",-1603.9671464973171
790,"(5, 2, 2, 3)",-1587.671953891582
791,"(5, 3, 1, 2)",-1584.6153331162332
792,"(6, 0, 0, 0)",-1584.5800690619517
793,"(2, 6, 0, 0)",-1584.0964139032237
794,"(5, 2, 1, 1)",-1560.1944446079826
795,"(0, 0, 1, 0)",-1510.7471019688423
796,"(3, 4, 0, 0)",-1510.0768948709774
797,"(4, 3, 0, 0)",-1499.0282412420188
798,"(2, 4, 0, 0)",-1483.3999911567894
799,"(5, 2, 3, 3)",-1476.0289300092732
800,"(1, 4, 0, 0)",-1355.1035400738226
801,"(0, 4, 0, 0)",-1341.8134837379366
802,"(3, 3, 0, 0)",-1341.3129217248115
803,"(0, 3, 0, 0)",-1340.6725716206054
804,"(5, 2, 0, 0)",-1340.2368692206096
805,"(1, 3, 0, 0)",-1332.0077027994203
806,"(2, 3, 0, 0)",-1328.5681460191881
807,"(5, 2, 2, 2)",-1326.9898640826955
808,"(5, 0, 0, 0)",-1299.9126788483786
809,"(5, 1, 0, 0)",-1298.5804704807806
810,"(1, 2, 0, 0)",-1284.7432714468966
811,"(3, 1, 0, 0)",-1283.4189263551461
812,"(3, 2, 0, 0)",-1280.7686752286818
813,"(2, 2, 0, 0)",-1274.4943205644668
814,"(2, 1, 0, 0)",-1267.0027337972688
815,"(1, 1, 0, 0)",-1257.9480917022586
816,"(4, 1, 0, 0)",-1254.8208217105348
817,"(0, 2, 0, 0)",-1254.3237569515782
818,"(4, 0, 0, 0)",-1241.8039912215545
819,"(3, 0, 0, 0)",-1181.5693143632893
820,"(5, 2, 1, 3)",-1169.1745411994325
821,"(0, 1, 0, 0)",-1145.7641407573988
822,"(4, 2, 1, 0)",-1133.909920654317
823,"(2, 0, 0, 0)",-1125.2356330196865
824,"(1, 0, 0, 0)",-1102.4798554829852
825,"(0, 0, 0, 0)",-997.5105702736441
826,"(4, 2, 2, 0)",-779.4531141614351
827,"(4, 2, 0, 3)",-700.9507409975605
828,"(4, 2, 0, 0)",-163.81450660669563
829,"(4, 2, 3, 1)",79.06499199494391
830,"(4, 2, 3, 0)",191.64268515027499
831,"(4, 2, 2, 3)",194.24327061634773
832,"(4, 2, 1, 3)",217.08376155262613
833,"(4, 2, 3, 3)",385.83577509097415
834,"(4, 2, 2, 2)",567.9484463062261
835,"(4, 2, 3, 2)",586.7097804732456
836,"(4, 2, 1, 2)",637.5800246901965
837,"(4, 2, 0, 2)",751.6675322037329
838,"(4, 2, 2, 1)",772.8591584919916
839,"(4, 2, 1, 1)",1011.7193442198571
840,"(4, 2, 0, 1)",1215.8607634462765
