date,sscore
2021-11-01, 0.6
2021-11-02,-0.8
2021-11-03,-0.8
2021-11-04,0.6
2021-11-05,-1
2021-11-06,-0.8
2021-11-07,-0.8
2021-11-08,-0.8
2021-11-09,-0.8
2021-11-10,-1
2021-11-11,-1
2021-11-12,-0.8
2021-11-13,-1
2021-11-14,-0.8
2021-11-15,-0.8
2021-11-16,-1
2021-11-17,-0.8
2021-11-18,-1
2021-11-19,-1
2021-11-20,1
2021-11-21,0.8
2021-11-22,-0.8
2021-11-23,0.8
2021-11-24,-0.8
2021-11-25,-0.4
2021-11-26,-0.2
2021-11-27,0
2021-11-28,0.2
2021-11-29,0.4
2021-11-30,0.5
2021-12-01,-0.8
2021-12-02,-0.9
2021-12-03,-1
2021-12-04,1
2021-12-05,0.5
2021-12-06,0.2
2021-12-07,0.1
2021-12-08,0.22
2021-12-09,0.4
2021-12-10,-0.8
2021-12-11,0.8
2021-12-12,0.8
2021-12-13,-0.8
2021-12-14,-0.8
2021-12-15,-0.8
2021-12-16,-0.8
2021-12-17,-0.8
2021-12-18,-0.8
2021-12-19,-0.8
2021-12-20,-1
2021-12-21,0.8
2021-12-22,-0.8
2021-12-23,-0.8
2021-12-24,-1
2021-12-25,-1
2021-12-26,-0.8
2021-12-27,-0.8